Javi,Ramos,javi@ramos,1,0
Admin,Admin,admin@admin.com,0,1
Ian,Ian,Ian,0,1
Jon,Atila,jon@atila.com,1,0
Galder,Delgar,Galder@delgar.com,0,1
Gerente,Gerente,gerente@gerente.com,0,1
Trabajador,Trabajador,trabajador@trabajador.com,1,0
p,p,p,1,0
null,null,null,1,0
null,null,null,1,0
null,null,null,1,0
null,null,null,1,0
null,null,null,1,0
test_username,test_password,test@test.com,0,1
null,null,null,1,0
test_username,test_password,test@test.com,0,1
null,null,null,1,0
test_username,test_password,test@test.com,0,1
null,null,null,1,0
test_username,test_password,test@test.com,0,1
null,null,null,1,0
test_username,test_password,test@test.com,0,1
null,null,null,1,0
test_username,test_password,test@test.com,0,1
null,null,null,1,0
test_username,test_password,test@test.com,0,1
null,null,null,1,0
test_username,test_password,test@test.com,0,1
test_username,test_password,test@test.com,0,1
test_username,test_password,test@test.com,0,1
test_username,test_password,test@test.com,0,1
test_username,test_password,test@test.com,0,1
test_username,test_password,test@test.com,0,1
test_username,test_password,test@test.com,0,1
test_username,test_password,test@test.com,0,1
test_username,test_password,test@test.com,0,1
test_username,test_password,test@test.com,0,1
test_username,test_password,test@test.com,0,1
null,null,null,1,0
test_username,test_password,test@test.com,0,1
null,null,null,1,0
test_username,test_password,test@test.com,0,1
null,null,null,1,0
test_username,test_password,test@test.com,0,1
null,null,null,1,0
test_username,test_password,test@test.com,0,1
null,null,null,1,0
test_username,test_password,test@test.com,0,1
null,null,null,1,0
test_username,test_password,test@test.com,0,1
null,null,null,1,0
test_username,test_password,test@test.com,0,1
null,null,null,1,0
test_username,test_password,test@test.com,0,1
null,null,null,1,0
o,o,o,1,0
